"Date","Shift","Name","Amount","day_of_week","tip_month","avg_tip_per_employee","avg_tip_per_shift","avg_tip_per_day","avg_tip_per_day_and_shift","avg_tip_per_month","avg_tip_per_month_and_shift","total_earned_per_employee","total_earned_per_emp_day","total_earned_day","total_earned_day_and_shift","total_earned_month","total_earned_month_and_shift"
"2022-01-02","lunch","employee B",61.66,"Sunday   ","January  ",72.22,80.65,66.34,77.59,67.87,82.28,11555.03,3809.51,19836.01,12104.44,8144.82,3784.95
"2022-01-02","lunch","employee Q",86.32,"Sunday   ","January  ",71.86,80.65,66.34,77.59,67.87,82.28,7258.13,815.32,19836.01,12104.44,8144.82,3784.95
"2022-01-02","dinner","employee C",87.73,"Sunday   ","January  ",57.78,60.79,66.34,54.07,67.87,58.92,3293.66,375.13,19836.01,7731.57,8144.82,4359.87
"2022-01-02","dinner","employee Q",98.69,"Sunday   ","January  ",71.86,60.79,66.34,54.07,67.87,58.92,7258.13,815.32,19836.01,7731.57,8144.82,4359.87
"2022-01-03","lunch","employee Q",152.05,"Monday   ","January  ",71.86,80.65,75.87,96.27,67.87,82.28,7258.13,1748.79,14718.5,5679.73,8144.82,3784.95
"2022-01-03","dinner","employee B",79.13,"Monday   ","January  ",72.22,60.79,75.87,66.95,67.87,58.92,11555.03,291.24,14718.5,9038.77,8144.82,4359.87
"2022-01-03","dinner","employee E",52.76,"Monday   ","January  ",55.61,60.79,75.87,66.95,67.87,58.92,1390.25,144.22,14718.5,9038.77,8144.82,4359.87
"2022-01-03","dinner","employee Q",79.13,"Monday   ","January  ",71.86,60.79,75.87,66.95,67.87,58.92,7258.13,1748.79,14718.5,9038.77,8144.82,4359.87
"2022-01-04","lunch","employee J",93.68,"Tuesday  ","January  ",70.5,80.65,64.66,84.52,67.87,82.28,22279.25,2918.12,11768.14,4310.56,8144.82,3784.95
"2022-01-04","dinner","employee C",18.6,"Tuesday  ","January  ",57.78,60.79,64.66,56.93,67.87,58.92,3293.66,549.91,11768.14,7457.58,8144.82,4359.87
"2022-01-04","dinner","employee J",27.89,"Tuesday  ","January  ",70.5,60.79,64.66,56.93,67.87,58.92,22279.25,2918.12,11768.14,7457.58,8144.82,4359.87
"2022-01-05","lunch","employee C",10.17,"Wednesday","January  ",57.78,80.65,62.84,73.77,67.87,82.28,3293.66,728.7,11687.92,4131.12,8144.82,3784.95
"2022-01-05","lunch","employee J",117.72,"Wednesday","January  ",70.5,80.65,62.84,73.77,67.87,82.28,22279.25,3845.05,11687.92,4131.12,8144.82,3784.95
"2022-01-05","lunch","employee Q",91.49,"Wednesday","January  ",71.86,80.65,62.84,73.77,67.87,82.28,7258.13,1298.83,11687.92,4131.12,8144.82,3784.95
"2022-01-05","dinner","employee C",47.38,"Wednesday","January  ",57.78,60.79,62.84,58.13,67.87,58.92,3293.66,728.7,11687.92,7556.8,8144.82,4359.87
"2022-01-05","dinner","employee J",53.3,"Wednesday","January  ",70.5,60.79,62.84,58.13,67.87,58.92,22279.25,3845.05,11687.92,7556.8,8144.82,4359.87
